 itemid |                                              label                                              
    218 | High Insp. Pressure
    219 | High Resp. Rate
    221 | I:E Ratio
    222 | I:E Ratio-Calculated
    223 | I:E Ratio-TCPCV
    224 | IABP Mean
    225 | IABP setting
    226 | ICP
    229 | INV Line#1 [Type]
    230 | INV Line#1 Zero/Cal
    232 | INV Line#1SiteAppear
    235 | INV Line#2 [Type]
    236 | INV Line#2 Zero/Cal
    238 | INV Line#2SiteAppear
    241 | INV Line#3 [Type]
    242 | INV Line#3 Zero/Cal
    244 | INV Line#3SiteAppear
    247 | INV Line#4 [Type]
    248 | INV Line#4 Zero/Cal
    250 | INV Line#4SiteAppear
    253 | INV Line#5 [Type]
    254 | INV Line#5 Zero/Cal
    256 | INV Line#5SiteAppear
    259 | INV Line#6 [Type]
    260 | INV Line#6 Zero/Cal
    262 | INV Line#6SiteAppear
    265 | INV Line#7 [Type]
    266 | INV Line#7 Zero/Cal
    268 | INV Line#7SiteAppear
    271 | INV Line#8 [Type]
    272 | INV Line#8 Zero/Cal
    274 | INV Line#8SiteAppear
    283 | INV#1 WaveformAppear
    284 | INV#2 WaveformAppear
    285 | INV#3 WaveformAppear
    286 | INV#4 WaveformAppear
    287 | INV#5 WaveformAppear
    288 | INV#6 WaveformAppear
    289 | INV#7 WaveformAppear
    290 | INV#8 WaveformAppear
    294 | IV #1 [Site]
    297 | IV #2 [Site]
    300 | IV #3 [Site]
    303 | IV #4 [Site]
    320 | IV Site #1
    321 | IV Site #2
    322 | IV Site #3
    323 | IV Site #4
    324 | IV Site Appear #1
    325 | IV Site Appear #2
    326 | IV Site Appear #3
    327 | IV Site Appear #4
    338 | Imp Skin Cleanse #1
    339 | Imp Skin Cleanse #2
    340 | Imp Skin Cleanse #3
    341 | Imp Skin Cleanse #4
    342 | Imp Skin Cleanse #5
    343 | Imp Skin Cleanse #6
    344 | ImpSkin Character #1
    345 | ImpSkin Character #2
    346 | ImpSkin Character #3
    347 | ImpSkin Character #4
    348 | ImpSkin Character #5
    349 | ImpSkin Character #6
    350 | ImpSkin #3 [Drain]
    351 | ImpSkin #6 [Drain]
    352 | ImpSkin #1 [Drain]
    353 | ImpSkin #2 [Drain]
    354 | ImpSkin #4 [Drain]
    355 | ImpSkin #5 [Drain]
    356 | ImpSkin Treatment #1
    357 | ImpSkin Treatment #2
    358 | ImpSkin Treatment #3
    359 | ImpSkin Treatment #4
    360 | ImpSkin Treatment #5
    361 | ImpSkin Treatment #6
    362 | ImpSkin Wound Base#1
    363 | ImpSkin Wound Base#2
    364 | ImpSkin Wound Base#3
    365 | ImpSkin Wound Base#4
    366 | ImpSkin Wound Base#5
    367 | ImpSkin Wound Base#6
    368 | ImpSkin #1 [Width]
    369 | ImpSkin #2 [Width]
    370 | ImpSkin #3 [Width]
    371 | ImpSkin #4 [Width]
    372 | ImpSkin #5 [Width]
    373 | ImpSkin #6 [Width]
    374 | Impaired Skin Site#1
    375 | Impaired Skin Site#2
    376 | Impaired Skin Site#3
    377 | Impaired Skin Site#4
    378 | Impaired Skin Site#5
    379 | Impaired Skin Site#6
    380 | Inc Cleansing #1
    381 | Inc Cleansing #2
    382 | Inc Cleansing #3
    383 | Inc Cleansing #4
    384 | Inc Cleansing #5
    385 | Inc Cleansing #6
    386 | Inc #1 [Closure]
    387 | Inc #2 [Closure]
    388 | Inc #3 [Closure]
    389 | Inc #4 [Closure]
    390 | Inc #5 [Closure]
    391 | Inc #6 [Closure]
    392 | Inc #1 [Drainage]
    393 | Inc #2 [Drainage]
    394 | Inc #3 [Drainage]
    395 | Inc #4 [Drainage]
    396 | Inc #5 [Drainage]
    397 | Inc #6 [Drainage]
    398 | Inc #1 [Dressing]
    399 | Inc #2 [Dressing]
    400 | Inc #3 [Dressing]
    401 | Inc #5 [Dressing]
    402 | Inc #6 [Dressing]
    403 | Inc #4 [Dressing]
    404 | Inc/Wound Packing #1
    405 | Inc/Wound Packing #2
    406 | Inc/Wound Packing #3
    407 | Inc/Wound Packing #4
    408 | Inc/Wound Packing #5
    409 | Inc/Wound Packing #6
    410 | Incentive Spirometry
    411 | Incision/Wound #1
    412 | Incision/Wound #2
    413 | Incision/Wound #3
    414 | Incision/Wound #4
    415 | Incision/Wound #5
    416 | Incision/Wound #6
    417 | Inspired Gas Temp
    419 | KneeImmobilizeLoc [Right]
    421 | LCW
    422 | LCWI
    423 | LL Strength/Movement
    424 | LLE [Temp]
    425 | LLL Lung Sounds
    426 | LU Strength/Movement
    427 | LUE [Temp]
    428 | LUL Lung Sounds
    429 | LVAD Flow LPM
    430 | LVSW
    431 | LVSWI
    432 | Level of Conscious
    434 | Low Exhaled Min Vol
    435 | Low Exhaled Vt
    436 | Low Insp. Pressure
    437 | Low Peep
    438 | MAP
    439 | MDI #1 [Puff]
    440 | MDI #2 [Puff]
    441 | MDI #3 [Puff]
    442 | Manual BP [Systolic]
    443 | Manual BP Mean(calc)
    444 | Mean Airway Pressure
    445 | Mech. Minute Volume
    446 | Micro-Neb Treatment
    447 | Minimal Leak Present
    448 | Minute Volume
    449 | Minute Volume (Set)
    450 | Minute Volume(Obser)
    454 | Motor Response
    455 | NBP [Systolic]
    456 | NBP Mean
    457 | NMB Medication
    458 | Nares [Right]
    459 | Neg Insp Force(>-25)
    460 | Nerve Stimulated
    461 | Neuro Drain Drainage
    462 | Neuro Drain [Level]
    463 | Neuro Drain Status
    464 | Neuro Drain Type
    465 | Neuro Symptoms
    466 | Nursing Consultation
    467 | O2 Delivery Device
    468 | O2 Delivery Device#2
    469 | O2 Delivery Mode
    470 | O2 Flow (lpm)
    471 | O2 Flow (lpm) #2
    472 | O2AV
    473 | O2AVI
    474 | O2ER
    477 | Oral Care
    478 | Oral Cavity
    479 | Orientation
    480 | Orthostat BP sitting [Systolic]
    481 | Orthostat HR sitting
    482 | OrthostatBP standing [Systolic]
    483 | OrthostatHR standing
    484 | Orthostatic BP lying [Systolic]
    485 | Orthostatic HR lying
    486 | Ostomy Care
    487 | Ostomy [Type]
    490 | PAO2
    491 | PAP Mean
    492 | PAP [Systolic]
    493 | PCA 1 Hr Limit (mg)
    494 | PCA Basal Rate
    495 | PCA Bolus
    496 | PCA Dose
    497 | Patient controlled analgesia (PCA) [Inject]
    498 | PCA Lockout (Min)
    499 | PCA Medication
    500 | PCA Total Dose
    501 | PCV Exh Vt (Obser)
    502 | PCV Insp Vt (Obser)
    503 | PCV Set Insp. Press
    504 | PCWP
    505 | PEEP
    506 | PEEP Set
    507 | PIP
    508 | PT Splint #1 [Location]
    509 | PT Splint #2 [Location]
    510 | PT Splint #3 [Location]
    511 | PT Splint #4 [Location]
    512 | PVR
    513 | PVRI
    515 | Pacemaker Mode
    516 | Pacemaker Type
    517 | Pacer Rate
    518 | Pacer Wire Condition
    519 | Pacer Wires Atrial
    520 | Pacer Wires Ground
    521 | Pacer Wires Vent
    522 | Pain Cause
    524 | Pain Level (Rest)
    525 | Pain Location
    526 | Pain Management [Route/Status #1]
    527 | Pain Type
    529 | Pause Time %
    530 | Peak Flow
    535 | Peak Insp. Pressure
    536 | Peri Care
    537 | Pericard Drain Site
    538 | Pericard Drain Stat
    539 | Pericardial Drainage
    541 | PetCO2/TcCO2
    542 | Pin Care
    543 | Plateau Pressure
    545 | Plateau-Off
    546 | Popliteal Pulse [Right]
    547 | Position
    548 | Position Change
    549 | PostTib. Pulses [Right]
    550 | Precautions
    551 | Pressure Sore #1 [Stage]
    552 | Pressure Sore #2 [Stage]
    553 | Pressure Sore #3 [Stage]
    554 | Press Sore Site #2
    555 | PressSore Depth #1
    556 | PressSore Depth #2
    557 | PressSore Depth #3
    558 | Pressure Sore #1 [Drainage]
    559 | Pressure Sore #2 [Drainage]
    560 | Pressure Sore #3 [Drainage]
    561 | Pressure Sore #1 [Width]
    562 | Pressure Sore #2 [Width]
    563 | Pressure Sore #3 [Width]
    564 | PressSoreCleansing#1
    565 | PressSoreCleansing#2
    566 | PressSoreCleansing#3
    567 | PressSoreTreatment#1
    568 | PressSoreTreatment#2
    569 | PressSoreTreatment#3
    570 | PressSoreWoundBase#1
    571 | PressSoreWoundBase#2
    572 | PressSoreWoundBase#3
    573 | Pressure Sore Odor#1
    574 | Pressure Sore Odor#2
    575 | Pressure Sore Odor#3
    576 | Pressure Sore Site#1
    577 | Pressure Sore Site#3
    578 | Pressure Support
    579 | PressureReduceDevice
    580 | Previous Weight
    581 | Previous WeightF
    582 | Procedures
    583 | Pulses Paradoxus
    584 | Pupil Response [Right]
    585 | Pupil Size [Right]
    586 | QTc
    588 | RCW
    589 | RCWI
    590 | RL Strength/Movement
    591 | RLE [Temperature]
    592 | RLE [Sensation]
    593 | RLL Lung Sounds
    594 | ROM [Type]
    595 | RSBI (<200)
    596 | RU Strength/Movement
    597 | RUE [Temperature]
    598 | RUE [Sensation]
    599 | RUL Lung Sounds
    601 | RVSW
    602 | RVSWI
    603 | Radial Pulse [Right]
    604 | Radiologic Study
    605 | Reason For Restraint
    606 | Rec. Breath Pressure
    607 | Rec.Breath Time(sec)
    608 | Recruit Breath
    609 | Remote Alarm
    610 | Removed x 5 Mins
    611 | Replace Rate ml/hr
    612 | Replace.Fluid Infuse
    613 | Resp Quotient - (R)
    614 | Resp Rate (Spont)
    615 | Resp Rate (Total)
    616 | Respiratory Effort
    617 | Respiratory Pattern
    618 | Respiratory Rate
    619 | Respiratory Rate Set
    620 | Responds to Stimuli [Type]
    621 | Restraint Location
    622 | Restraint Type
    623 | Restraints Evaluated
    624 | Return Pressure mmHg
    625 | SVI
    626 | SVR
    627 | SVRI
    629 | Seizure Activity
    630 | Seizure Duration
    631 | Sensitivity-Vent
    632 | Sensory Level
    637 | Side Rails
    638 | Sigh Rate
    639 | Sigh Tidal Volume
    640 | Significant Events
    641 | Sitter
    642 | Skin Care
    643 | Skin Color
    644 | Skin Integrity
    645 | Skin [Temperature]
    646 | SpO2
    648 | Speech
    649 | Spiritual Support
    650 | Spon Minute VE L/min
    651 | Spon RR (Mech.)
    652 | Spon. Vt (L) (Mech.)
    653 | Spont. Resp. Rate
    654 | Spont. Tidal Volume
    655 | Spontaneous Movement
    656 | Sputum [Color]
    657 | Sputum Source
    659 | Stool [Color]
    660 | Stool Guaiac
    661 | Stool Management
    662 | Stroke Volume
    663 | Support Systems
    664 | Swan SVO2
    665 | System Integrity
    666 | Systolic Unloading
    667 | TCPCV Apnea Settings
    668 | TCPCV Fixed I Time
    669 | TCPCV I:E Ratio
    670 | TCPCV Insp. Pressure
    671 | TCPCV Insp. Time
    672 | TCPCV-MAP
    673 | TOF Response/Twitch
    674 | Temp. Site
    676 | Temperature C
    677 | Temperature C (calc)
    678 | Temperature F
    679 | Temperature F (calc)
    680 | Therapeutic Bed
    681 | Tidal Volume
    682 | Tidal Volume (Obser)
    683 | Tidal Volume (Set)
    684 | Tidal Volume (Spont)
    686 | Total PEEP Level
    687 | Trach Care
    688 | Trach [Cuff]
    690 | Trach Size
    691 | Tracheostomy Cuff
    692 | Tracheostomy Type
    693 | Tract/Imm Location#1
    694 | Tract/Imm Location#2
    695 | Tract/Imm Location#3
    697 | Traction/Immobile #1
    698 | Traction/Immobile #2
    699 | Traction/Immobile #3
    702 | Transcut Pad Place
    704 | Turn
    705 | Untoward Effect
    706 | Urine [Color]
    707 | Urine Source
    708 | VAD Beat Rate [Right]
    709 | VCO2 (180-200)
    710 | VEN Lumen Volume
    712 | VO2 (200-250)
    715 | Vd/Vt Ratio (40-60%)
    716 | Venous Pressure
    717 | Ventricular Pacemaker [Sense]
    719 | Ventricular Pacemaker [mA]
    720 | Ventilator Mode
    721 | Ventilator No.
    722 | Ventilator Type
    723 | Verbal Response
    724 | Vision - EPAP
    725 | Vision - IPAP
    726 | Vision - Mode
    727 | Vision FiO2
    728 | Vision Mask
    729 | Vision Rate
    730 | Vital Cap (>1.0)L
    731 | Warming [Device]
    732 | Waveform-Vent
    733 | Weight Change
    734 | Working Pressure
    735 | Wound Care
    741 | avDO2
    742 | calprevflg
    762 | Admit Wt
    763 | Daily Weight
    768 | ACT (102-142)
    769 | ALT
    770 | AST
    772 | Albumin (>3.2)
    773 | Alk. Phosphate
    774 | Ammonia
    775 | Amylase
    776 | Arterial Base Excess
    777 | Arterial CO2(Calc)
    778 | Arterial PaCO2
    779 | Arterial PaO2
    780 | Arterial pH
    781 | BUN (6-20)
    782 | Bleeding Time
    783 | Blood Products
    784 | CPK
    785 | CPK/MB
    786 | Calcium (8.4-10.2)
    787 | Carbon Dioxide
    788 | Chloride (100-112)
    789 | Cholesterol (<200)
    791 | Creatinine (0-1.3)
    792 | Cyclosporin
    793 | D-Dimer (0-500)
    794 | Differential-Atyps
    795 | Differential-Bands
    796 | Differential-Basos
    797 | Differential-Eos
    798 | Differential-Lymphs
    799 | Differential-Monos
    800 | Differential-Polys
    801 | Digoxin
    802 | Dilantin
    803 | Direct Bili (0-0.3)
    804 | Ethanol
    805 | FK506
    806 | Fibrinogen (150-400)
    807 | Fingerstick Glucose
    808 | Gentamycin/Peak
    809 | Gentamycin/Random
    810 | Gentamycin/Trough
    811 | Glucose (70-105)
    812 | HCO3
    813 | Hematocrit
    814 | Hemoglobin
    815 | INR (2-4 ref. range)
    816 | Ionized Calcium
    817 | LDH
    818 | Lactic Acid(0.5-2.0)
    820 | Lipase
    821 | Magnesium (1.6-2.6)
    822 | Mixed Venous O2
    823 | Mixed Venous O2% Sat
    824 | PT(11-13.5)
    825 | PTT(22-35)
    826 | Phenobarbital
    827 | Phosphorous(2.7-4.5)
    828 | Platelets
    829 | Potassium (3.5-5.3)
    831 | Procan
    832 | Procan Napa
    833 | RBC
    834 | SaO2
    835 | Sed Rate
    836 | Serum Osmolality
    837 | Sodium (135-148)
    838 | SvO2
    842 | Theophylline
    844 | Thrombin (16-21)
    845 | Tobramycin/Peak
    846 | Tobramycin/Random
    847 | Tobramycin/Trough
    848 | Total Bili (0-1.5)
    849 | Total Protein(6.5-8)
    850 | Triglyceride (0-200)
    851 | Troponin
    852 | Tylenol
    853 | Uric Acid (2.7-7.0)
    854 | Vancomycin/Peak
    855 | Vancomycin/Random
    856 | Vancomycin/Trough
    857 | Venous CO2(Calc)
    858 | Venous PvCO2
    859 | Venous PvO2
    860 | Venous pH
    861 | WBC (4-11,000)
    916 | Allergy 1
    917 | Diagnosis/op
    919 | Service
    920 | Admit Ht
    924 | Readmission
    925 | Marital Status
    926 | Religion
    927 | Allergy 2
    930 | Ext
    935 | Allergy 3
    938 | blood cultures
    940 | trach care
    941 | urine culture
    968 | EKG
    970 | TRACH CARE
    972 | passy muir valve
    977 | TRACHE CARE
    981 | dilaudid
    986 | ABG Hct
    993 | bladder pressure
    996 | BLADDER PRESSURE
   1001 | rotation
   1003 | cuff pressure
   1010 | High exhaled min vol
   1015 | PASSY MUIR VALVE
   1022 | Trach care
   1027 | abdominal binder
   1037 | O2 %
   1043 | Less Restrict Meas.
   1044 | Pain Level
   1045 | Pain Level/Response
   1046 | Pain Present
   1047 | Range of Motion
   1051 | passy-muir valve
   1054 | protonix
   1060 | ammonia
   1062 | PMV on/off
   1063 | bath
   1066 | shave
   1078 | BATH
   1087 | Pain Assess Method
   1089 | PainLevel Acceptable
   1093 | coccyx drsg change
   1097 | Pantoprazole  mg/hr
   1101 | PROTONIX
   1115 | passey muir valve
   1118 | multipodus boot
   1119 | seizure pads
   1120 | trach
   1125 | Service Type
   1126 | Art.pH
   1127 | WBC   (4-11,000)
   1136 | vasopressin
   1162 | BUN
   1188 | dressing change
   1191 | Glucometer
   1203 | fleets enema
   1211 | Insp Time %
   1226 | Pantoprazole mg/hr
   1227 | autopeep
   1286 | PT
   1311 | XIGRIS
   1328 | Cartridge/Bag Change
   1329 | Initials (2 RNs) [RN #1]
   1330 | Med Wasted [Drug]
   1336 | Protonix
   1337 | Riker-SAS Scale
   1340 | high minute volume
   1348 | podus boots
   1359 | complete bath
   1375 | bed bath
   1377 | bivalirudin
   1382 | bedbath
   1390 | DO2
   1391 | DO2I
   1393 | F-Ideal Body Wgt Kg
   1394 | Height Inches
   1395 | M-Ideal Body Wgt Kg
   1397 | RSBI (<100)
   1401 | zzO2AV
   1402 | zzO2AVI
   1411 | Bladder Pressure
   1418 | multipodus boots
   1420 | Aggitation
   1421 | Anxiety
   1422 | Ataxia
   1423 | Auditory Disturbance
   1424 | CIWA Sum Total
   1425 | Daily Wake Up
   1426 | Drowsiness
   1427 | GI Prophylaxis [Drug #1]
   1428 | Headache
   1429 | Insomnia
   1430 | Nausea and Vomiting
   1431 | Orient/Clouding Sens
   1432 | Paroxysmal Sweats
   1433 | Seizure
   1434 | Slurred Speech
   1435 | Sustained Nystamus
   1436 | Tactile Disturbances
   1437 | Tremor
   1438 | Ulnar Pulse [Right]
   1439 | Visual Disturbances
   1464 | ZZZly Wake Up
   1466 | ATC
   1479 | IV #1 Reason DC'D
   1480 | IV #2 Reason DC'D
   1481 | IV #3 Reason DC'D
   1482 | IV #4 Reason DC'D
   1483 | RSBI Not Completed
   1484 | Risk for Falls
   1486 | High Minute Volume
   1496 | HIGH MIN. VENT.
   1499 | high min. vol
   1503 | Bed Bath
   1510 | high Ve
   1513 | Hi Min Vol
   1517 | Readmit <48 hrs
   1520 | ACT
   1521 | Albumin
   1522 | Calcium
   1523 | Chloride
   1524 | Cholesterol
   1525 | Creatinine
   1526 | D-Dimer
   1527 | Direct Bili
   1528 | Fibrinogen
   1529 | Glucose
   1530 | INR
   1531 | Lactic Acid
   1532 | Magnesium
   1533 | PTT
   1534 | Phosphorous
   1535 | Potassium
   1536 | Sodium
   1537 | Thrombin
   1538 | Total Bili
   1539 | Total Protein
   1540 | Triglyceride
   1541 | Uric Acid
   1542 | WBC
   1546 | high ve
   1551 | high MV
   1555 | Apnea Interval
   1565 | High MV Limit
   1566 | high min vol
   1567 | apnea
   1568 | high me
   1571 | ABG
   1578 | HI/Minute/Vol
   1581 | APRV
   1582 | P high
   1586 | Xigris mcg/kg/hr
   1587 | xigris mg/hr
   1591 | waffle boots
   1596 | HIGH MV
   1599 | HIGH MINUTE VENT.
   1600 | HIGH MINUTE VOLUME
   1602 | hepa filter
   1603 | multi podis boots
   1612 | Pres. High
   1613 | Pres. Low
   1614 | Time High
   1615 | Time Low
   1616 | High MV.
   1621 | High/Min/Vent
   1622 | Alarms
   1623 | Parameters Checked
   1624 | PreSep Catheter SVO2
   1630 | podis boots
   1632 | PMV
   1637 | pneumo boots
   1639 | High MV
   1650 | high mv
   1653 | Bed Alarm
   1655 | Insp. Time
   1656 | Press Low
   1657 | Pressw High
   1658 | driving pressure
   1659 | high min vent
   1662 | High min vol
   1664 | Low exhaled min vol
   1666 | phigh
   1667 | plow
   1668 | thigh
   1669 | tlow
   1671 | act
   1673 | PH
   1678 | Time disconnect
   1682 | multi podus boots
   1684 | APNEA
   1685 | HI MV
   1688 | passy muir
   1689 | P High
   1690 | P low
   1691 | T high
   1692 | T low
   1695 | Atr Sens Thresh mV
   1696 | Atr Stim Thresh mA
   1697 | Atrial Pacemaker Sense [mV]
   1698 | GI Tube #1 [Site]
   1699 | GI Tube #2 [Site]
   1700 | GI#3 Intub Site
   1701 | GI Tube #3 [Status]
   1702 | GI#3 tube PlaceCheck
   1703 | Health Care Proxy
   1704 | PA line cm Mark
   1705 | Vent Sens Thresh mV
   1706 | Ventricular Pacemaker Sense [mV]
   1707 | Vent Stim Thresh mA
   1720 | high exhale MV
   1722 | Waffle boots
   1734 | TOF
   1735 | Multipodus boots
   1737 | HI/Minute/vol
   1738 | high/min/vent
   1742 | QTC
   1743 | bed alarm
   1745 | Passey Muir valve
   1746 | hi MV
   1781 | BED ALARM
   1811 | Mouth Care
   1813 | Morphine Sulfate
   1820 | alcohol bath
   1821 | potassium phosphate
   1822 | PASSE-MUIR VALVE
   1853 | protonix mg/hr
   1872 | Shave
   1879 | xigris
   1880 | Urine pH
   1892 | BED BATH
   1900 | MULTIPODIS BOOTS
   1904 | Qtc
   1910 | BAth
   1955 | Xygris
   1990 | High minute vent.
   2000 | Inspiratory Time
   2006 | high min volume
   2015 | ATC ON
   2022 | NIF
   2029 | Xigris
   2050 | Low MV
   2053 | high VE
   2056 | Nitric Oxide
   2059 | Driving pressure
   2062 | NO ppm
   2063 | NO tank psi
   2066 | atc
   2072 | Pinsp
   2074 | AV Fistula
   2080 | high NO
   2119 | Slope
   2125 | slope
   2129 | Driving Pressure
   2131 | Nitric oxide
   2139 | EDVI
   2146 | edvi
   2185 | CALCIUM GLUCONATE
   2194 | SVO2
   2224 | URINE CREAT
   2225 | URINE NA
   2226 | URINE OSMO
   2307 | WAFFLE BOOTS
   2359 | thrill/bruit
   2368 | fem abp
   2369 | fem map
   2382 | Protonix gtt
   2432 | insulin
   2445 | Vasopressin
   2455 | percussion
   2466 | KCL
   2509 | APROTONIN CC/HR
   2565 | Bruit/Thrill
   2570 | valproic acid
   2585 | chest PT
   2644 | pericare
   2665 | NO
   2669 | svo2
   2699 | EF
   2739 | FENOLDOPAM
   2755 | XIGRIS CC/HR
   2779 | bladder pressures
   2783 | edv
   2788 | ABD GIRTH
   2792 | pr interval
   2872 | abd binder
   2921 | Delta P
   2929 | sputum culture
   2935 | P Low
   2936 | T High
   2937 | T Low
   2976 | SHAVE
   2993 | trache care
   3014 | bath/shampoo
   3031 | t high
   3032 | t low
   3033 | hair washed
   3036 | P HIGH
   3037 | THAM
   3058 | shaved
   3098 | hi mv
   3109 | Sodium Bicarb
   3114 | PCV Driving Pressure
   3126 | SLOPE
   3142 | high rr
   3143 | low insp pressure
   3176 | Nicardip.mcg/kg/min
   3177 | left fem. aline
   3178 | right femoral aline
   3184 | Neo mcg/kg/min
   3204 | Pinsp.
   3209 | P LOW
   3210 | pressure high
   3211 | time high
   3212 | time low
   3213 | RT FEM ART LINE
   3219 | calcium gluconate
   3223 | Bedbath
   3245 | ileostomy
   3249 | BEDBATH
   3250 | Nephrostomy tube
   3257 | XIGRIS @ 1.66 MG/HR
   3258 | d10w
   3265 | ecmo flow
   3269 | XIGRIS MG/HR
   3271 | insp time
   3281 | Xigres mg/hr
   3288 | O2 sat [Pre]
   3291 | Abdominal Appearance
   3292 | Abdominal Color
   3293 | Abdominal Exam
   3294 | Abdominal Girth (cm)
   3295 | Abdominal Loops
   3296 | Abnormalities
   3297 | Airleak
   3298 | Albuterol MDI
   3299 | Albuterol MiniNeb
   3302 | Amphotericin
   3303 | Ampicillin
   3304 | Anterior Fontanelle [Texture]
   3306 | Apnea [Existence]
   3307 | Appearance
   3309 | Atrovent MDI
   3310 | Auditory Evokes
   3311 | BP Alarm [Low]
   3312 | BP Cuff [Mean]
   3313 | BP Cuff [Systolic]
   3314 | BP Left Arm [Mean]
   3315 | BP Left Arm [Systolic]
   3316 | BP Left Leg [Mean]
